"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2025-03-18 21:50:15,1.33%,8.33%,0.467%,0.367%,0%,87.7%
2025-03-18 21:50:30,0.283%,0.817%,0.0667%,0.183%,0%,97.8%
2025-03-18 21:50:45,0.250%,0.716%,0.0333%,0.216%,0%,97.8%
2025-03-18 21:51:00,0.250%,0.500%,0.0334%,0.183%,0%,98.2%
2025-03-18 21:51:15,0.163%,0.472%,0.0363%,0.145%,0%,108%
2025-03-18 21:51:30,0.250%,0.649%,0.0998%,0.216%,0%,98.1%
2025-03-18 21:51:45,0.182%,0.473%,0.0182%,0.182%,0%,108%
2025-03-18 21:52:00,0.183%,0.450%,0.0500%,0.150%,0%,98.7%
2025-03-18 21:52:15,0.127%,0.491%,0%,0.146%,0%,108%
2025-03-18 21:52:30,0.117%,0.267%,0.0667%,0.0500%,0%,99.0%
2025-03-18 21:52:45,0.164%,0.436%,0.0182%,0.127%,0%,108%
2025-03-18 21:53:00,0.133%,0.300%,0.0500%,0.1000%,0%,99.0%
2025-03-18 21:53:15,0.127%,0.364%,0.0182%,0.146%,0%,108%
2025-03-18 21:53:30,0.150%,0.383%,0.0167%,0.100%,0%,99.0%
2025-03-18 21:53:45,0.133%,0.300%,0.0333%,0.133%,0%,99.1%
2025-03-18 21:54:00,0.163%,0.472%,0.0363%,0.0726%,0%,107%
2025-03-18 21:54:15,0.134%,0.317%,0.0167%,0.117%,0%,99.1%
2025-03-18 21:54:30,0.164%,0.291%,0%,0.127%,0%,108%
2025-03-18 21:54:45,0.117%,0.267%,0.0167%,0.0833%,0%,99.2%
2025-03-18 21:55:00,0.164%,0.419%,0.0910%,0.127%,0%,108%
2025-03-18 21:55:15,0.200%,0.527%,0.0364%,0.145%,0%,108%
2025-03-18 21:55:30,0.100%,0.300%,0.0167%,0.0834%,0%,99.2%
2025-03-18 21:55:45,0.145%,0.291%,0.0182%,0.0908%,0%,108%
2025-03-18 21:56:00,0.133%,0.283%,0.0167%,0.0833%,0%,99.1%
2025-03-18 21:56:15,0.0909%,0.254%,0.0182%,0.109%,0%,108%
2025-03-18 21:56:30,0.150%,0.267%,0.0167%,0.117%,0%,99.1%
2025-03-18 21:56:45,0.145%,0.309%,0.0182%,0.109%,0%,108%
2025-03-18 21:57:00,0.0999%,0.250%,0.0167%,0.0833%,0%,99.3%
2025-03-18 21:57:15,0.217%,0.434%,0.0501%,0.117%,0%,98.5%
