"Time","recv br-1785ac75ae63","recv br-d68a9b3682c0","recv docker0","recv enp0s3","recv veth3aabc0b","recv vetha617128","recv vetha7118d2","recv vethc1091c1","recv vethc954da7","recv vethda3fa3d","recv vethf07ecd0","recv vethf884fa3","trans br-1785ac75ae63 ","trans br-d68a9b3682c0 ","trans docker0 ","trans enp0s3 ","trans veth3aabc0b ","trans vetha617128 ","trans vetha7118d2 ","trans vethc1091c1 ","trans vethc954da7 ","trans vethda3fa3d ","trans vethf07ecd0 ","trans vethf884fa3 "
2025-03-18 21:50:15,,239 b/s,0 b/s,973 b/s,9.12 kb/s,,,,25.6 kb/s,3.24 kb/s,0 b/s,,,188 b/s,0 b/s,438 b/s,11.7 kb/s,,,,12.3 kb/s,14.5 kb/s,275 b/s,
2025-03-18 21:50:30,,0 b/s,0 b/s,512 b/s,6.62 kb/s,,,,14.0 kb/s,275 b/s,0 b/s,,,0 b/s,0 b/s,143 b/s,7.19 kb/s,,,,6.93 kb/s,6.91 kb/s,37.3 b/s,
2025-03-18 21:50:45,,0 b/s,0 b/s,682 b/s,6.69 kb/s,,,,14.4 kb/s,565 b/s,0 b/s,,,0 b/s,0 b/s,171 b/s,7.33 kb/s,,,,7.25 kb/s,7.10 kb/s,0 b/s,
2025-03-18 21:51:00,,0 b/s,0 b/s,497 b/s,6.58 kb/s,,,,14.0 kb/s,348 b/s,0 b/s,,,0 b/s,0 b/s,143 b/s,7.15 kb/s,,,,6.97 kb/s,6.97 kb/s,37.4 b/s,
2025-03-18 21:51:15,,0 b/s,0 b/s,640 b/s,7.33 kb/s,,,,15.7 kb/s,563 b/s,0 b/s,,,0 b/s,0 b/s,122 b/s,7.99 kb/s,,,,7.89 kb/s,7.67 kb/s,0 b/s,
2025-03-18 21:51:30,,0 b/s,0 b/s,19.4 kb/s,6.61 kb/s,,,,14.0 kb/s,323 b/s,0 b/s,,,0 b/s,0 b/s,5.10 Mb/s,7.14 kb/s,,,,6.93 kb/s,6.89 kb/s,0 b/s,
2025-03-18 21:51:45,,0 b/s,0 b/s,942 b/s,7.40 kb/s,,,,15.8 kb/s,564 b/s,0 b/s,,,0 b/s,0 b/s,283 b/s,8.09 kb/s,,,,7.97 kb/s,7.69 kb/s,0 b/s,
2025-03-18 21:52:00,,0 b/s,0 b/s,675 b/s,6.56 kb/s,,,,14.0 kb/s,347 b/s,0 b/s,,,0 b/s,0 b/s,280 b/s,7.08 kb/s,,,,6.95 kb/s,6.96 kb/s,37.3 b/s,
2025-03-18 21:52:15,,0 b/s,0 b/s,1.01 kb/s,7.31 kb/s,,,,15.8 kb/s,618 b/s,0 b/s,,,0 b/s,0 b/s,584 b/s,8.05 kb/s,,,,7.93 kb/s,7.76 kb/s,0 b/s,
2025-03-18 21:52:30,,0 b/s,0 b/s,591 b/s,6.56 kb/s,,,,14.0 kb/s,275 b/s,0 b/s,,,0 b/s,0 b/s,243 b/s,7.12 kb/s,,,,6.84 kb/s,6.84 kb/s,0 b/s,
