"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2025-03-18 21:50:00,7.71 GiB,601 MiB,969 MiB,6.17 GiB,0 B
2025-03-18 21:50:15,7.71 GiB,792 MiB,1019 MiB,5.94 GiB,0 B
2025-03-18 21:50:30,7.71 GiB,768 MiB,1020 MiB,5.96 GiB,0 B
2025-03-18 21:50:45,7.71 GiB,768 MiB,1021 MiB,5.96 GiB,0 B
2025-03-18 21:51:00,7.71 GiB,768 MiB,1021 MiB,5.96 GiB,0 B
2025-03-18 21:51:15,7.71 GiB,761 MiB,1021 MiB,5.97 GiB,0 B
2025-03-18 21:51:30,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:51:45,7.71 GiB,759 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:52:00,7.71 GiB,761 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:52:15,7.71 GiB,763 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:52:30,7.71 GiB,764 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:52:45,7.71 GiB,765 MiB,1.01 GiB,5.95 GiB,0 B
2025-03-18 21:53:00,7.71 GiB,766 MiB,1.01 GiB,5.95 GiB,0 B
2025-03-18 21:53:15,7.71 GiB,767 MiB,1.01 GiB,5.95 GiB,0 B
2025-03-18 21:53:30,7.71 GiB,768 MiB,1.01 GiB,5.95 GiB,0 B
2025-03-18 21:53:45,7.71 GiB,770 MiB,1.01 GiB,5.95 GiB,0 B
2025-03-18 21:54:00,7.71 GiB,756 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:54:15,7.71 GiB,757 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:54:30,7.71 GiB,757 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:54:45,7.71 GiB,757 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:55:00,7.71 GiB,765 MiB,1.01 GiB,5.95 GiB,0 B
2025-03-18 21:55:15,7.71 GiB,759 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:55:30,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:55:45,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:56:00,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:56:15,7.71 GiB,759 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:56:30,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:56:45,7.71 GiB,759 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:57:00,7.71 GiB,759 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:57:15,7.71 GiB,759 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:57:30,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:57:45,7.71 GiB,758 MiB,1.01 GiB,5.96 GiB,0 B
2025-03-18 21:58:00,7.71 GiB,764 MiB,1.04 GiB,5.92 GiB,0 B
2025-03-18 21:58:15,7.71 GiB,764 MiB,1.04 GiB,5.92 GiB,0 B
2025-03-18 21:58:30,7.71 GiB,764 MiB,1.04 GiB,5.92 GiB,0 B
2025-03-18 21:58:45,7.71 GiB,764 MiB,1.04 GiB,5.92 GiB,0 B
2025-03-18 21:59:00,7.71 GiB,776 MiB,1.04 GiB,5.91 GiB,0 B
2025-03-18 21:59:15,7.71 GiB,768 MiB,1.04 GiB,5.91 GiB,0 B
2025-03-18 21:59:30,7.71 GiB,768 MiB,1.04 GiB,5.91 GiB,0 B
2025-03-18 21:59:45,7.71 GiB,768 MiB,1.04 GiB,5.91 GiB,0 B
2025-03-18 22:00:00,7.71 GiB,767 MiB,1.04 GiB,5.92 GiB,0 B
2025-03-18 22:00:15,7.71 GiB,767 MiB,1.04 GiB,5.91 GiB,0 B
2025-03-18 22:00:30,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:00:45,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:01:00,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:01:15,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:01:30,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:01:45,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:02:00,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:02:15,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:02:30,7.71 GiB,769 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:02:45,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:03:00,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:03:15,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:03:30,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:03:45,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:04:00,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:04:15,7.71 GiB,768 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:04:30,7.71 GiB,765 MiB,1.05 GiB,5.91 GiB,0 B
2025-03-18 22:04:45,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:05:00,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:05:15,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:05:30,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:05:45,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:06:00,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:06:15,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:06:30,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:06:45,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:07:00,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:07:15,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:07:30,7.71 GiB,763 MiB,1.05 GiB,5.92 GiB,0 B
2025-03-18 22:07:45,7.71 GiB,777 MiB,1.06 GiB,5.89 GiB,0 B
2025-03-18 22:08:00,7.71 GiB,777 MiB,1.06 GiB,5.89 GiB,0 B
2025-03-18 22:08:15,7.71 GiB,776 MiB,1.06 GiB,5.89 GiB,0 B
2025-03-18 22:08:30,7.71 GiB,777 MiB,1.06 GiB,5.89 GiB,0 B
2025-03-18 22:08:45,7.71 GiB,777 MiB,1.06 GiB,5.89 GiB,0 B
2025-03-18 22:09:00,7.71 GiB,777 MiB,1.06 GiB,5.89 GiB,0 B
